"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","cluster","ClusteringCoefficient","Degree","degree.layout","EC","Eccentricity","gene_id","gene_product_name","IsSingleNode","locus_tag","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"1.58823529","0.02866128","0.62962963","4","0.6091954","30","30","EC:2.5.1.-","3","637671010","4-hydroxybenzoate octaprenyltransferase","false","SAR11_0145","C134_0145_a_at","24.8","30","0","0","0.85294118","false","0","C134_0145_a_at","1298","0.37575758"
"1.72058824","0.0051647","0.58119658","4","0.76086957","24","24","EC:6.3.2.9","3","637670889","UDP-N-acetylmuramoylalanine--D-glutamate ligase","false","SAR11_0026","C134_0026_a_at","27.25","24","0","0","0.81985294","false","0","C134_0026_a_at","352","0.43253968"
"1.82945736","0.00643404","0.54661017","0","0.51612903","32","32","EC:2.4.99.14","3","637671012","3-deoxy-D-manno-octulosonic-acid transferase","false","SAR11_0148","C134_0148_at","38.5625","32","0","0","0.79263566","false","0","C134_0148_at","1468","0.32405462"
"1.90697674","0.00287126","0.52439024","0","0.60507246","24","24","EC:2.1.1.171","3","637671017","N6-adenine-specific methylase","false","SAR11_0154","C134_0154_at","41.83333333","24","0","0","0.77325581","false","0","C134_0154_at","782","0.35754986"
"2.0","2.8832E-4","0.5","0","0.8","16","16","EC:5.3.1.9","3","637671018","probable glucose-6-phosphate isomerase","false","SAR11_0155","C134_0155_at","48.4375","16","0","0","0.75","false","0","C134_0155_at","76","0.42865044"
"2.02325581","0.00100603","0.49425287","0","0.65263158","20","20","EC:3.4.23.36","4","637671020","Lipoprotein signal peptidase","false","SAR11_0157","C134_0157_a_at","38.25","20","0","0","0.74418605","false","0","C134_0157_a_at","296","0.35747664"
"1.67721519","0.00762118","0.59622642","1","0.63434343","55","55","EC:2.7.7.2","3","637671022","Riboflavin biosynthesis protein","false","SAR11_0159","C134_0159_a_at","57.74545455","55","0","0","0.8306962","false","0","C134_0159_a_at","3280","0.37497048"
"1.30769231","0.16139601","0.76470588","11","0.5","9","9","","2","637671025","60 kDa chaperonin","false","SAR11_0162","C134_0162_a_at","6.11111111","9","0","0","0.8974359","false","0","C134_0162_a_at","78","0.47008547"
"1.38461538","0.08304843","0.72222222","11","0.60714286","8","8","","2","637671024","10 kDa chaperonin","false","SAR11_0161","C134_0161_a_at","6.5","8","0","0","0.87179487","false","0","C134_0161_a_at","50","0.5"
"1.89940828","0.02314706","0.52647975","3","0.46179402","43","43","","3","637671028","GTP-binding protein","false","SAR11_0165","C134_0165_a_at","40.37209302","43","0","0","0.77514793","false","0","C134_0165_a_at","9290","0.28414674"
"1.75","0.0","0.57142857","25","1.0","2","2","","3","637671033","protein that suppresses inhibitory activity of CsrA","false","SAR11_0170","C134_0170_a_at","3.0","2","0","0","0.75","false","0","C134_0170_a_at","0","1.0"
"1.25","0.16666667","0.8","25","0.66666667","3","3","EC:1.8.1.9","2","637670941","thioredoxin reductase","false","SAR11_0077","C134_0077_a_at","2.66666667","3","0","0","0.91666667","false","0","C134_0077_a_at","4","0.66666667"
"1.98816568","0.01250204","0.50297619","2","0.72934473","27","27","4-heptadienoate hydrolase","3","637671036","possible 2-hydroxy-6-oxo-2","false","SAR11_0173","C134_0173_a_at","56.81481481","27","0","0","0.75295858","false","0","C134_0173_a_at","4788","0.3970474"
"1.82945736","0.00206916","0.54661017","0","0.65517241","29","29","6-dehydratase","3","637671039","GDP-mannose 4","false","SAR11_0176","C134_0176_a_at","46.06896552","29","0","0","0.79263566","false","0","C134_0176_a_at","686","0.37761447"
"1.99224806","4.4289E-4","0.50194553","0","0.68333333","16","16","","4","637671040","Glycosyltransferase family 9 (heptosyltransferase)","false","SAR11_0177","C134_0177_a_at","44.375","16","0","0","0.75193798","false","0","C134_0177_a_at","158","0.38586957"
"2.01898734","3.6006E-4","0.49529781","1","0.81666667","16","16","","3","637671041","Heat shock protein","false","SAR11_0178","C134_0178_a_at","67.5625","16","0","0","0.74525316","false","0","C134_0178_a_at","194","0.48606115"
"1.60714286","0.01771017","0.62222222","6","0.71212121","12","12","","3","637671049","drug/metabolite transporter (dmt superfamily)","false","SAR11_0187","C134_0187_a_at","14.75","12","0","0","0.84821429","false","0","C134_0187_a_at","60","0.5462963"
"2.20930233","0.00122295","0.45263158","0","0.63736264","14","14","","4","637671052","HlyD family-related protein","false","SAR11_0190","C134_0190_a_at","33.14285714","14","0","0","0.69767442","false","0","C134_0190_a_at","290","0.37239165"
"1.99367089","2.0503E-4","0.5015873","1","0.83823529","17","17","","3","637671057","nucleotidyltransferase family protein","false","SAR11_0194","C134_0194_a_at","69.94117647","17","0","0","0.75158228","false","0","C134_0194_a_at","98","0.4925435"
"1.39130435","0.02249993","0.71875","3","0.69230769","14","14","EC:3.3.1.1","2","637671060","S-adenosyl-L-homocysteine hydrolase","false","SAR11_0197","C134_0197_a_at","12.78571429","14","0","0","0.86956522","false","0","C134_0197_a_at","72","0.55590062"
"2.15189873","0.0","0.46470588","1","1.0","7","7","EC:2.7.13.3","3","637671061","two-component sensor histidine kinase","false","SAR11_0198","C134_0198_a_at","74.0","7","0","0","0.71202532","false","0","C134_0198_a_at","0","0.58267717"
"1.63924051","0.01034441","0.61003861","1","0.56045198","60","60","","3","637671062","two-component system response regulator","false","SAR11_0199","C134_0199_a_at","54.65","60","0","0","0.84018987","false","0","C134_0199_a_at","4768","0.35258065"
"2.15503876","7.848E-5","0.46402878","0","0.80952381","7","7","EC:2.7.7.7","3","637671063","DNA polymerase I","false","SAR11_0200","C134_0200_a_at","41.42857143","7","0","0","0.71124031","false","0","C134_0200_a_at","18","0.40616246"
"1.38461538","0.19843305","0.72222222","11","0.53571429","8","8","","2","637671066","Response regulator consisting of a CheY-like receiver domain and a Fis-type HTH domain","false","SAR11_0203","C134_0203_at","6.25","8","0","0","0.87179487","false","0","C134_0203_at","76","0.51041667"
"1.0","0.0","1.0","13","0.0","1","1","EC:3.5.3.11","1","637671069","arginase","false","SAR11_0206","C134_0206_at","1.0","1","0","0","1.0","false","0","C134_0206_at","0","0.0"
"1.0","0.0","1.0","13","0.0","1","1","EC:2.5.1.46","1","637671068","deoxyhypusine synthase-like protein","false","SAR11_0205","C134_0205_a_at","1.0","1","0","0","1.0","false","0","C134_0205_a_at","0","0.0"
"1.78947368","0.08333333","0.55882353","8","0.47619048","7","7","","4","637671070","Uncharacterized ACR","false","SAR11_0207","C134_0207_a_at","6.14285714","7","0","0","0.84210526","false","0","C134_0207_a_at","68","0.36134454"
